"Control-1","Control-2","Control-3","Control-4","Treatment-1","Treatment-2","Treatment-3","Treatment-5"
0,7,0,0,0,0,103,39
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,61,38,0,0,0,102,0
3,0,0,0,0,0,8,2
0,10,36,35,0,78,17,22
0,0,8,7,0,0,0,3
0,0,0,86,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2
0,0,0,0,0,0,21,15
0,0,0,0,0,0,0,0
0,42,0,0,30,12,74,0
0,0,17,45,13,0,96,8
4,0,0,0,20,0,162,0
0,0,0,0,0,0,0,0
0,2,0,0,0,0,18,0
0,0,82,51,0,2,4,7
0,0,0,5,0,9,131,12
0,0,0,0,0,0,173,3
39,8,2,2,53,11,12,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,88,88,0
0,0,0,0,0,0,0,0
7,23,12,24,24,0,24,15
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
81,0,0,0,32,0,0,0
5,7,26,30,9,15,36,7
0,0,17,9,0,65,31,39
0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,0
15,0,39,28,0,15,53,5
0,7,0,0,151,0,0,0
0,21,0,0,0,0,0,0
0,4,0,0,0,0,5,15
0,0,13,11,62,0,0,4
0,0,0,0,0,0,0,0
0,9,34,17,9,19,32,13
0,0,0,13,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,5,0,37,15
0,0,0,0,0,0,13,0
0,0,0,5,0,0,4,8
27,16,0,0,38,26,36,11
0,0,0,0,0,0,0,0
0,0,9,17,0,0,0,3
101,9,0,0,26,0,0,15
0,0,0,0,9,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
49,0,0,10,0,5,28,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,4
0,0,0,0,0,0,0,0
0,0,10,49,0,10,0,0
0,0,0,0,0,0,0,0
0,3,0,0,131,0,0,4
0,0,24,83,0,23,8,0
0,7,9,9,0,0,66,14
0,0,0,0,131,0,0,6
0,57,0,0,0,0,12,11
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,47,0
0,0,16,35,7,2,58,5
0,0,4,4,10,0,0,0
25,2,29,12,4,9,10,7
0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,69,0
0,6,0,0,46,0,5,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,122,0,0,0
0,0,0,0,112,0,0,0
35,7,16,7,15,0,0,5
0,0,8,6,11,0,10,16
0,0,0,0,0,0,0,0
21,8,18,26,0,6,0,7
0,0,0,11,0,3,0,0
0,0,0,0,0,0,0,0
27,0,0,0,36,0,8,0
0,4,0,0,0,0,111,0
0,8,0,27,0,7,45,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,82,0,29,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,110,0,0,0
0,12,0,6,23,0,39,15
0,0,0,0,0,0,0,0
0,0,0,0,0,0,34,31
0,0,0,0,0,0,0,6
0,0,0,0,0,0,0,0
0,0,28,36,35,6,0,0
0,0,0,0,0,0,42,4
0,0,0,0,0,0,0,0
9,8,22,11,5,0,4,7
0,23,0,5,0,4,61,9
0,0,0,0,0,0,41,0
